;Локальная тема;Описание
546;Незаконная установка рекламной конструкции;Проверьте законность размещения рекламного баннера на ограждении дворовой территории - СКОРО ОТКРЫТИЕ.
547;Несоблюдение требований к размещению информационных вывесок;
548;Несоблюдение требований к размещению информационных вывесок;"Указанные конструкции размещены с нарушением требований Постановления Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве""."
549;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама
550;Несоблюдение требований к размещению информационных вывесок;Вывески на фризе «Мясо Рыба», «универсам АНГАРА», «ПИВМАГ», «1000 мелочей», «аптеки ГОРЗДРАВ» размещены на плоской серой подложке, что не соответствуют архитектурно-художественной концепции ул. Мичуринский проспект, Олимпийская деревня (л.33), предусматривающей размещение на фризе отдельных букв и знаков без подложки. Нарушение п.6 пост. 902-ПП.
551;Несоблюдение требований к размещению информационных вывесок;Незаконная реклама портящая облик исторической застройки алексеевского района. 
552;Несоблюдение требований к размещению информационных вывесок;"Прошу демонтировать вывески, не отвечающие требованиям постановления Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве"". ПОВТОРНОЕ ОБРАЩЕНИЕ! Волочаевская улица д.12А с.1"
553;Незаконная установка рекламной конструкции;
554;Несоблюдение требований к размещению информационных вывесок;
555;Несоблюдение требований к размещению информационных вывесок;"Рекламная конструкция: под словом ""Доставка"" номер телефона. На портале размещена информация, что это не разрешается."
556;Несоблюдение требований к размещению информационных вывесок;Незаконная конструкция
557;Несоблюдение требований к размещению информационных вывесок;Незаконное рекламное размещение круга к стене пристройки . Убираем . 
558;Несоблюдение требований к размещению информационных вывесок;"Размещено ТРИ информационных вывески одного предприятия торговли ""Цветы"""
559;Несоблюдение требований к размещению информационных вывесок;Информационный вывеска размещена с нарушениями, выше перекрытия первого - второго этажей. 
560;Несоблюдение требований к размещению информационных вывесок;Баннерная ткань
561;Незаконная установка рекламной конструкции;Выставленный на тротуар рекламный щит . Между ним для надёжности три колесных диска. Это что бы не улетел . Выставляется в рабочее время . Ночью я его себе подарю . 
562;Незаконная установка рекламной конструкции;Здравствуйте! По адресу петрозаводская улица д 15 к 5, на придомовой инфраструктуре установлена данная рекламная конструкция. Проверьте пожалуйста разрешение на установку данной рекламной конструкции!
563;Незаконная установка рекламной конструкции;Здравствуйте! По адресу петрозаводская улица д 15 к 5 на прилегающей к дому инфраструктуре расположен рекламный щит. Проверьте пожалуйста разрешение на установку данной конструкции!
564;Несоблюдение требований к размещению информационных вывесок;На фасаде нашего дома незаконно установлены рекламные конструкции. Реклама уродует фасад нашего дома. В настоящее время в нашем доме идёт капитальный ремонт. Прошу раз и навсегда убрать рекламу и провести разъяснительную работу с собственниками и арендаторами помещений.
565;Незаконная установка рекламной конструкции;Верх арочной решётки полностью затянут двумя банерными рекламными конструкциями
566;Незаконная установка рекламной конструкции;Огромная информационная вывеска на кровле. Согласовано?
567;Несоблюдение требований к размещению информационных вывесок;Уже неоднократное нарушение №902-ПП выше линии первого этажа
568;Несоблюдение требований к размещению информационных вывесок;Размещен номер телефона и название сайта. 902-пп п.10.1
569;Несоблюдение требований к размещению информационных вывесок;Прошу проверить на соблюдение правил данную вывеску. А именно: - перекрытие оконных проёмов - размещение на архитектурных деталях фасадов - пилястры - соответствие эстетических характеристик конструкции стилистике здания
570;Несоблюдение требований к размещению информационных вывесок;Выше линии первого этажа, просьба проверить.
571;Несоблюдение требований к размещению информационных вывесок;Просьба демонтировать это безобразие
572;Незаконная установка рекламной конструкции;Незаконная рекламная конструкция. Требуем принять меры.
573;Несоблюдение требований к размещению информационных вывесок;
574;Несоблюдение требований к размещению информационных вывесок;
575;Несоблюдение требований к размещению информационных вывесок;
576;Несоблюдение требований к размещению информационных вывесок;Вот видите вместо трёх убрали - две рекламы . Теперь появилась ещё одна к красной оставленной по причине , что фото не было . Снимайте все что глаза видят или будете кататься снова . Ещё и меня можете встретить . А оно вам надо ! 
577;Незаконная установка рекламной конструкции;
578;Незаконная установка рекламной конструкции;
579;Незаконная установка рекламной конструкции;Нарушение требований к информационным конструкциям. Очередное размещение флагов ресторана.
