;Локальная тема;Описание
87;Несоблюдение требований к размещению информационных вывесок;"Несоблюдение 902-ПП: вывеска ""Семена Одежда"" находится в проёме, висит в воздухе, это запрещено, вывеска ""Ателье"" загораживает часть оконного проёма, это тоже запрещено."
88;Незаконная установка рекламной конструкции;Конструкция около остановки 497 автобуса и парковки около ТЦ
89;Несоблюдение требований к размещению информационных вывесок;Информационная конструкция в оконном проёме (п. 10.1 902-ПП)
90;Несоблюдение требований к размещению информационных вывесок;
91;Несоблюдение требований к размещению информационных вывесок;Конструкция «аренда», надписи на остеклении.
92;Несоблюдение требований к размещению информационных вывесок;
93;Ненадлежащее состояние рекламной конструкции;Кожух рекламной конструкции повреждён
94;Несоблюдение требований к размещению информационных вывесок;Проверьте законность размещения рекламной конструкции.
95;Незаконная установка рекламной конструкции;Чермянская улица д.1А с.1 около дороги размещена незаконная рекламная конструкция
96;Несоблюдение требований к размещению информационных вывесок;
97;Несоблюдение требований к размещению информационных вывесок;"Баннер на двери и вывеска ""кафе"" не предусмотрены архитектурно-художественной концепцией. Вывеска ""ломбард"" имеет подложку не на всю высоту фриза, прошу проверить."
98;Несоблюдение требований к размещению информационных вывесок;Огромный рекламный баннер на строящемся здании отеля
99;Несоблюдение требований к размещению информационных вывесок;Зеленоград, к. 834Б. Конструкции не предусмотрены архитектурно-художественной концепцией по улице Панфиловский проспект.
100;Несоблюдение требований к размещению информационных вывесок;Прошу проверить законность баннера на доме ,на заборе ,а так же крышную установку и флаги 
101;Несоблюдение требований к размещению информационных вывесок;
102;Несоблюдение требований к размещению информационных вывесок;Множественные нарушения 902-ПП
103;Несоблюдение требований к размещению информационных вывесок;"Консольная конструкция - вертикальный порядок букв (п. 10.1 902-ПП). Конструкция с текстом (продукты) с использованием картона (п. 10.1 902-ПП). Конструкция с текстом ""магазин ромашка..."" - прошу проверить геометрические параметры (п. 10.1 902-ПП)."
104;Несоблюдение требований к размещению информационных вывесок;"Консольная конструкция далее 0,2 м от фасада (п. 19.2 902-ПП). Конструкция ""вещевые ряды"" - прошу проверить на соответствие п. 10.2 902-ПП. Другие конструкции - не на единой горизонтальной линии."
