;Локальная тема;Описание
129;Захламление территории;Оставленная после проведения работ, бетонная конструкция.
130;Неубранная городская территория;
131;Разрушение/неправильная укладка тактильной плитки;Разрушена тактильная плитка вдоль дома по адресу Дмитровское шоссе 90к.1 у 5 и 6 подъездов. Прошу устранить проблемы.
132;Захламление территории;Уберите
133;Неубранная городская территория;Горы мусора и людей с низкой соцответственностью
134;Неубранная городская территория;Стихийная свалка с внешней стороны забора автостоянки, ближайший адрес: аэродромная,5: очень много мелкого мусора, обломков досок и бордюров, накиданных спиленных веток
135;Неубранная городская территория;После восстановления дорожки остался асфальтовый блин.
136;Захламление территории;С 2017 года наблюдаю увеличивающуюся гору железобетонного мусора. Ранее говорили РЖД примет меры, но по факту более 3 лет это растущий отстойник железнодорожного мусора , где регулярно жгут провода для сдачи в чермет.
137;Неубранная городская территория;
138;Неубранная городская территория;
139;Некачественное содержание улично-дорожных информационных указателей;Справа от дублера: на указателе указано что путь к диагностическому центру направо, на самом же деле - маршрут к нему налево. Необходимо скорректировать чтобы не вводить в заблуждение
140;Захламление территории;
141;Неубранная городская территория;Газон рядом с пешеходным переходом весь в окурках, уборка территории не проводся
142;Захламление территории;Подрядчики по капитальному ремонту складируют стройматериалы на газоне. Просьба оштрафовать и обязать вывезти стройматериалы с газона
143;Неубранная городская территория;
144;Некачественное содержание улично-дорожных информационных указателей;Прошу принять меры и восстановить оба указателя
145;Неубранная городская территория;"Это натуральная диверсия: 22.07.20 чуть не сгорела сначала самостройная т.н. ""голубятня"" и гаражи, а также не взорвался газопровод на котором она стоит и пожарные с газовиками не могли подобраться к самострою из-за ОТВАЛОВ ВЕТОК, и теперь тут снова огнеопасный и непролазный отвал который ЕЩЁ БОЛЬШЕ чем был почти весь июль! Прошу немедленно вывезти!"
146;Некачественное содержание улично-дорожных информационных указателей;У информационного указателя повреждена табличка!
147;Захламление территории;
148;Неубранная городская территория;
149;Некачественное содержание улично-дорожных информационных указателей;Столб для размещения указателей есть, а табличек нет. Прошу организовать восстановление табличек или демонтаж столба, если необходимость в размещении на нем указателей отпала.
150;Неубранная городская территория;"Мало того, что снова начался сбор картона под окнами жителей , в кустах, так добавились угрозы со стороны уборщиков, что бы жители не фотографировали их "" заработок"". Просьба пресечь складирование картона и металлолома на газонах!!!!"
151;Неубранная городская территория;Убрали парковку и теперь тут свалка где обитают бездомные и наркоманы. Нам под окнами этот ужас не нужен.
152;Неубранная городская территория;ЮАО . за воротами бросают мусор. 
153;Разрушение/неправильная укладка тактильной плитки;
154;Повреждение уличной лестницы;Прошу восстановить лестницу. 
155;Неубранная городская территория;Грязь, мусор, бычки, банки из под пива, пакеты, листва, нет урн. Ужасное состояние территории
156;Неубранная городская территория;Ужасное состояние территории, мусор, грязь, бычки, тара. Территория не убирается пока не напишешь жалобу
