;Локальная тема;Описание
1284;Некачественное содержание детской площадки в парке;
1285;Некачественное содержание спортивной площадки в парке;Недокрасили стену спортивной детской площадки по адресу огородная слобода 12. Прошу устранить недочёт. Спасибо.
1286;Некачественное содержание инфраструктуры в парке;Хлещет вода из трубы, из-под земли, прогулочная набережная сырая и в иле. Сложно пройти. 
1287;Неубранная парковая территория;Бытовой мусор в пролеске.
1288;Ненадлежащий уход за зелеными насаждениями в парке;Траву выкашивают почти наголо, не оставляя даже положенных пяти сантиметров. Не успевает она зазеленеть, её выкашивают вновь. Остаётся совсем низкая, нежизнеспособная травка, которая засыхает, как только прекращаются дожди. На ваш взгляд, летние лужайки должны выглядеть именно так – бледными и наполовину засохшими?
1289;Некачественное содержание инфраструктуры в парке;Добрый день! Прошу восстановить крепления урны. Кто-то её выдрал!
1290;Неубранная парковая территория;Сквер перестали убирать и он постепенно превращается в помойку.
1291;Неисправность элементов освещения в парке;
1292;Неисправность элементов освещения в парке;Крен столба
1293;Неубранная парковая территория;Добрый день. Настоящим письмом выражаю свое уважение и спешу сообщить о нанесенной, прямо на входе в парк, на тротуар рекламе . Прошу устранить. Заранее благодарю.
1294;Неубранная парковая территория;Просим срочно убрать территорию
1295;Ненадлежащий уход за зелеными насаждениями в парке;Сухостой (дорожка вдоль забора с ЦСКА)
1296;Неисправность элементов освещения в парке;
1297;Неисправность элементов освещения в парке;Не работают фонари
1298;Неисправность элементов освещения в парке;
1299;Некачественное содержание инфраструктуры в парке;Отсутствие дорожки.
1300;Неубранная парковая территория;
1301;Некачественное содержание детской площадки в парке;На детской лазилке не функционирует неродная опорная педаль, прокручивается при наступании, можно травмироваться. Закрепите или замените 
1302;Ненадлежащий уход за зелеными насаждениями в парке;В ООПТ Тушинский ПИП Бутаково вдоль дорог решили снять часть высокотравного луга. Но несколько дней трава сухая лежит на земле,что может вызвать пожар в ООПТ. Прошу Дирекцию Тушинского ПТ и Покровского Стрешнево ПТ убрать сухую траву.
1303;Ненадлежащий уход за зелеными насаждениями в парке;
1304;Некачественное содержание инфраструктуры в парке;Расколот бордюрный камень на клумбе, нужно восстановить 
1305;Ненадлежащий уход за зелеными насаждениями в парке;Парк превратился в заросшее поле. Местами крапива с рост человека. 
1306;Наличие опасно выступающих элементов в парке;На газоне непонятный металлический предмет, возле пруда. Просьба убрать
1307;Некачественное содержание инфраструктуры в парке;Проблема из сообщения №25437670 не устранена, левый кокан оторван от основания, оплётка всех коконов повреждена.
1308;Ненадлежащий уход за зелеными насаждениями в парке;На газоне со стороны дома 36 по ул. Гарибальди вторую неделю лежит скошенная трава. Это уродует внешний вид газону и наносит ему вред. Прошу заменить чиновника, ответственного за поддержание зеленых насаждений в надлежащем состоянии на указанной территории. Человек явно не справляется со своими обзанностями.
1309;Ненадлежащий уход за зелеными насаждениями в парке;На территории прудов-регуляторов растения, находящиеся в арках,засохли и имеют жалкий вид.
1310;Ненадлежащий уход за зелеными насаждениями в парке;На территории Корабковского сада большое количество аварийных деревьев, ветки не обрезаны
1311;Некачественное содержание инфраструктуры в парке;Отсутствует одна из 4 велопарковок в парке. От велопарковки осталось только основание (видно на фото). Прошу становить велопарковку, такую же как остальные 3 находящиеся рядом
1312;Ненадлежащий уход за зелеными насаждениями в парке;Сухая трава на газоне.
1313;Некачественное содержание инфраструктуры в парке;Прошу восстановить трос в элементах ограждения настила!
1314;Ненадлежащий уход за зелеными насаждениями в парке;
1315;Неисправность элементов освещения в парке;В парке перегорели лампы в фонаре. Замените, пожалуйста !
1316;Ненадлежащий уход за зелеными насаждениями в парке;
1317;Некачественное содержание инфраструктуры в парке;Дорожка спуска в парк давно размыта дождями, спускаться по ней опасно для жизни. Димой этот спуск вечь во льду, поэтому парк призодится обходить в обход, что занимает 20 минут. Я каждый день вожу детей через этот парк в школу и детский сад. В таком состоянии, в котором спуск сейчас детям там ходить опасно для здоровья и жизни.
1318;Некачественное содержание детской площадки в парке;Нет троса с сиденье для катания
1319;Ненадлежащий уход за зелеными насаждениями в парке;
1320;Некачественное содержание инфраструктуры в парке;Сломана скамейка
1321;Неисправность элементов освещения в парке;Не горят фонари около клумбы, один большой и два малых на детской 
1322;Неисправность элементов освещения в парке;На фонарях, после обрезки деревьев, плафоны не на месте, и открыты. При дожде туда заливается вода. На одном фонаре открыт технический люк, который низко у земли и доступен детям и животным!!!
1323;Ненадлежащий уход за зелеными насаждениями в парке;Прошу спилить деревья с сильным наклоном!
1324;Ненадлежащий уход за зелеными насаждениями в парке;Добрый день! Прошу обрезать аварийные деревья с сильным наклоном!
1325;Неубранная парковая территория;
1326;Неубранная парковая территория;В зоне отдыха антисанитария. Запретительные таблички не действуют, птиц кормят ещё больше.Администрация парка потакает тем, кто кормит птиц не на газоне, а на плиточном покрытии, не изменив график уборки.
1327;Некачественное содержание инфраструктуры в парке;Изрисованный стенд
1328;Неубранная парковая территория;
1329;Некачественное содержание инфраструктуры в парке;Сложно указать на карте, место новой сделанной площади для мероприятий, недалеко от причала в Коломенском. Ливневая канализация сделана следующим образом- решетка лежит на земле, либо это настолько сильно забитая канализация. 
1330;Неубранная парковая территория;
1331;Неубранная парковая территория;
1332;Некачественное содержание инфраструктуры в парке;Мусорка лавочка
1333;Неубранная парковая территория;
1334;Некачественное содержание инфраструктуры в парке;Рядом с местом под мангал. Одна урна повреждена снаружи. Обе урны не имеют металлическую урну внутри.
1335;Неубранная парковая территория;
1336;Неубранная парковая территория;Прошу провести уборку
1337;Некачественное содержание детской площадки в парке;В песочнице на детской площадке недостаточное количество песка, а оставшийся плохого качества
1338;Ненадлежащий уход за зелеными насаждениями в парке;" В парке отдыха ""Новые Черёмушки"" много засохших деревьев, представляющих опасност при падении для посетителей парка! Просьба удалить все засохшие деревья в парке. "
1339;Неубранная парковая территория;На газонах лежат части стволов и ветвей деревьев
1340;Ненадлежащий уход за зелеными насаждениями в парке;5 дней косили траву, сейчас и 5 см нет, сегодня косят опять. На фото то, что пришли косить
1341;Неубранная парковая территория;Все дорожки парка залиты мазутом
1342;Некачественное содержание детской площадки в парке;Сломана тарзанка. Элемент игровой площадки отсутствует 
1343;Ненадлежащий уход за зелеными насаждениями в парке;
1344;Ненадлежащий уход за зелеными насаждениями в парке;проблему не устраняют , отписываются на портале без решения , опровержение. 
1345;Отсутствие песка в песочнице в парке;Нет песка в песочнице. Прошу заполнить песочницу песком.
1346;Некачественное содержание инфраструктуры в парке;Покосилась (приоткрыта) крышка люка колодца на набережной. Вероятно, имеет смысл попросить рабочих в строительных перчатках выровнять, чтобы не было риска провалиться. Спасибо.
1347;Неубранная парковая территория;Данный участок захламлен постоянно.
1348;Неубранная парковая территория;
1349;Неубранная парковая территория;
1350;Некачественное содержание инфраструктуры в парке;Добрый день! На аллеи Зонтов сделали красивые места для отдыха, но стекла навесов никто не чистит и не моет. Они все грязные!
1351;Некачественное содержание инфраструктуры в парке;Ребенок 2 года в серебряном бору чуть утром ногу не сломал!!! Это кошмар, караул. После МЧС поста после детской площадки мост. За мостом этим первым направо поворот на деревянную дорожку к пляжу. Пляж на островке. Там дырка в деревянном настил. Ребенок провалился в 9.00 сегодня ногой в дыру. Нога застряла. Еле вытащила. Чуть не сломали
1352;Неубранная парковая территория;"Захламление территории вдоль пешеходной дорожки через реку Очаковка от ул. Лобачевского дом 114 до станции метро ""Мичуринский проспект""."
1353;Некачественное содержание детской площадки в парке;Площадка вся покрыта непонятно чем, все разбросано дети хватают в руки это вещество и тащут в рот. Нужно либо огородить территорию либо делать ремонт ночью когда нет детей.
1354;Неисправность элементов освещения в парке;Не работает несколько фонарей на детской площадке в парке.
1355;Некачественное содержание инфраструктуры в парке;
1356;Некачественное содержание детской площадки в парке;От главного входа первая детская площадка. Состояние ужасающее.практически во всем парке заменены детские площадки,а на этой тихий ужас. Детей всегда много,качели только одни, мотаные-перемотаные скотчем с высотой для взрослых скорее,а никак не для детей. Песочница разваленная,торчат длинные гвозди.
1357;Неубранная парковая территория;Что происходит с парком ?
1358;Неубранная парковая территория;
1359;Некачественное содержание детской площадки в парке;Оторваны канаты. Прошу починить
1360;Ненадлежащий уход за зелеными насаждениями в парке;"В процессе положенного покоса с 1 по 15 августа были оставлены заросшие участки. Полынь, крапива, чертополох и лапухи с репьями уже в человеческий рост высотой. Сныть и прочие травы подлежащие ежегодном покосу не тронуты. Прошу покосить все участки парка согласно их статусу ""лугового разнотравья"" полностью без исключений."
1361;Наличие опасно выступающих элементов в парке;Из земли в двух местах из земли торчит арматура
1362;Ненадлежащий уход за зелеными насаждениями в парке;
1363;Ненадлежащий уход за зелеными насаждениями в парке;Прошу убрать скошенную траву под грабли!
1364;Некачественное содержание инфраструктуры в парке;
1365;Наличие опасно выступающих элементов в парке;
1366;Неубранная парковая территория;Парк вообще убирается???
1367;Некачественное содержание инфраструктуры в парке;Добрый день! Ранее, на этом месте стояли лавки, теперь убрали все это. Когда восстановят малые архитектурные формы, убранные на период закрытия парков? В этой части парка была единственная площадка для отдыха!
1368;Некачественное содержание детской площадки в парке;Разболтались крепежи на детской площадке
1369;Неубранная парковая территория;
1370;Неубранная парковая территория;
1371;Некачественное содержание детской площадки в парке;Отремонтировать тарзанку на карабле
1372;Неисправность элементов освещения в парке;На улице сергея капицы, которая ведет к набережной от Президиума РАН не работают фонари,вечером ничего не видно, все фонари не в рабочем состоянии, идти неудобно по темноте .
1373;Неубранная парковая территория;Кусты используются людьми как туалет. Уберите
1374;Некачественное содержание детской площадки в парке;Рядом, к сожалению, нет фотографии, поломалась крутилка. Сначала торчали штыри, сейчас их спрятали в деревянную коробку. Теперь посередине площадки торчит деревянная коробка(ящик) Просьба починить обе конструкции
1375;Ненадлежащий уход за зелеными насаждениями в парке;
1376;Некачественное содержание спортивной площадки в парке;Перекрыт доступ к теннисным кортам. Нет информации о причинах, об организации, управляющей спортивными объектами.
1377;Ненадлежащий уход за зелеными насаждениями в парке;
1378;Ненадлежащий уход за зелеными насаждениями в парке;Провалился грунт под опорой освещения у детской площадки
1379;Некачественное содержание площадки для выгула собак в парке;Зачем на собачей площадке такие урны для экскрементов? Просили администрацию установить новые урны,но пока ни ответа, ни дел нет
1380;Ненадлежащий уход за зелеными насаждениями в парке;С начала лета не проводился покос газонов! Всё заросло.
1381;Некачественное содержание детской площадки в парке;Сломано крепление детского спортивного комплекса!
1382;Некачественное содержание площадки для выгула собак в парке;Добрый день! Сломан снаряд, где собака должна прыгать в кольцо. Шина валяется на площадке, цепей от шины нет, рама уцелела!
1383;Неубранная парковая территория;
1384;Некачественное содержание инфраструктуры в парке;Нужно покрасить ограждения в парке.
1385;Ненадлежащий уход за зелеными насаждениями в парке;не убрана трава после покоса 
1386;Ненадлежащий уход за зелеными насаждениями в парке;
1387;Ненадлежащий уход за зелеными насаждениями в парке;
1388;Некачественное содержание спортивной площадки в парке;сломан тренажёр 
1389;Некачественное содержание инфраструктуры в парке;Добрый день! После сильных ливней покрытие экологической тропы смыло на асфальт. Прошу произвести ремонт!
1390;Некачественное содержание детской площадки в парке;Добрый день! Одной качели нет, другая скрипит
1391;Ненадлежащий уход за зелеными насаждениями в парке;
1392;Неубранная парковая территория;Добрый день! На территории парка со стороны дома по адресу ак Анохина 66 и автобусной остановки угол парка завален мусором, который оставляют бомжи, которые поселились в этом месте. Просьба решить проблему незаконного захламления территории и убрать мусор
1393;Неубранная парковая территория;Вся детская площадка в шелухе, мусор!!
1394;Неисправность элементов освещения в парке;Упавший столбик уличного освещения в парке дружбы
1395;Некачественное содержание площадки для выгула собак в парке;Добрый день! Одно из колец не закреплено цепями снизу!
1396;Неисправность элементов освещения в парке;Очень опасно торчат провода в сквере, где гуляют дети
1397;Ненадлежащий уход за зелеными насаждениями в парке;Прошу убрать мусор и восстановить газоны!
1398;Некачественное содержание инфраструктуры в парке;Нужно покрасить облезлую урну для мусора.
1399;Некачественное содержание детской площадки в парке;Детская площадка в парке напротив улицы ЧЕЧУЛИНА. Песочница разбита
1400;Неубранная парковая территория;
1401;Некачественное содержание инфраструктуры в парке;Забор почти упал.
1402;Некачественное содержание спортивной площадки в парке;Добрый день! В парке почему-то отсутствуют ворота на футбольно-хоккейной площадке!
1403;Ненадлежащий уход за зелеными насаждениями в парке;
1404;Ненадлежащий уход за зелеными насаждениями в парке;
1405;Некачественное содержание детской площадки в парке;По нашему обращению №26655964 от 21.07.2020 ответ не предоставлен, за прошедшее время никакие работы на детской площадке в Парке Рогожский вал д.8 не проводились, за исключением того, что дворник 1 час срезал лопатой мох. Песчаное покрытие не восстановлено. Повторно просим восстановить песчаное покрытие в соответствии с предписанной технологией.
1406;Некачественное содержание детской площадки в парке;Детская площадка в парке напротив улицы ЧЕЧУЛИНА. Сломаны доски на высокой детской горке
1407;Неубранная парковая территория;Урны полные, мусор не убирается
1408;Ненадлежащий уход за зелеными насаждениями в парке;Добрый день! Из-за долгого перерыва все абсолютно заросло. Сорные растения стали в рост человека, заслонив даже спуск в парк. Прошу выполнить окос!
1409;Некачественное содержание инфраструктуры в парке;
1410;Некачественное содержание детской площадки в парке;Демонтируйте сетки, натянутые над землей. Они слишком низко. Я сломала руку в 2 местах на ней 3.08 после открытия. Была бы она выше я бы просто на ней повисла, а не воткнула руку в покрытие.Таблички ограничения возраста еще не было, но с ребенком могло произойти то же самое. Высота там маленькая. Качество конструкции оставляет желать лучшего.
1411;Ненадлежащий уход за зелеными насаждениями в парке;Больное дерево. Засохло.
1412;Некачественное содержание инфраструктуры в парке;Желтая плитка развалилась по всей дорожке. Просьба провести инспекцию и заменить все развалившиеся на новую.
1413;Некачественное содержание спортивной площадки в парке;Не прикручены железки
1414;Ненадлежащий уход за зелеными насаждениями в парке;
1415;Ненадлежащий уход за зелеными насаждениями в парке;Нужно восстановить газон.
1416;Некачественное содержание инфраструктуры в парке;Добрый день! Не выполнен до конца ямочный ремонт главной дороги!
1417;Неубранная парковая территория;
1418;Некачественное содержание инфраструктуры в парке;Провалы повсеместно
1419;Некачественное содержание спортивной площадки в парке;Покрытие желтого цвета порывалось возле детских тренажеров!
1420;Некачественное содержание инфраструктуры в парке;По всей гранитной подпорке, внизу необходимы ремонтные работы. Сразу от памятника Шухову до Сретенской площади. 
1421;Некачественное содержание спортивной площадки в парке;Монтаж спортивных тренажеров выполнен уже достаточно давно, более трех месяцев, но до сих пор на них не установлены утяжелители. То есть тренажерами невозможно пользоваться. Когда завершится монтаж?
1422;Неубранная парковая территория;Мусор в парке дружбы
1423;Неисправность элементов освещения в парке;
1424;Неисправность элементов освещения в парке;
1425;Неисправность элементов освещения в парке;
1426;Неисправность элементов освещения в парке;
1427;Ненадлежащий уход за зелеными насаждениями в парке;Просьба обстричь куст, который мешает проходу по дорожке
1428;Неисправность элементов освещения в парке;
1429;Некачественное содержание инфраструктуры в парке;После капитального ремонта моста торцы пола остались непрокрашенными!
1430;Некачественное содержание инфраструктуры в парке;Несанкционированные надписи на информационном щите 
1431;Неисправность элементов освещения в парке;
1432;Ненадлежащий уход за зелеными насаждениями в парке;Отсутствует санитарная обрезка засохших ветвей!
1433;Неубранная парковая территория;В выходные дни, территория парка не убирается, уры переполнены, всюду мусор.
1434;Ненадлежащий уход за зелеными насаждениями в парке;Просьба покосить траву,
1435;Неисправность элементов освещения в парке;Не горит очень много фонарей слева и справа на дорожке от совхозного входа до автобусной остановки на объездной
1436;Ненадлежащий уход за зелеными насаждениями в парке;
1437;Некачественное содержание инфраструктуры в парке;Прошу заменить/привести в нормальное состояние лавки.
1438;Некачественное содержание инфраструктуры в парке;Забор парка в начале ул. Академика Бакулева наклонён
1439;Ненадлежащий уход за зелеными насаждениями в парке;Наличие сухостоя в парке!
1440;Ненадлежащий уход за зелеными насаждениями в парке;Выкопали траншею для посадки кустов. Кусты не посадили, газон испортили, траншею оставили.
1441;Неубранная парковая территория;Переполненные урны на пешеходной дорожке от остановки на ул. Василия Петушкова к детской спортивной школой на ул. Василия Петушкова,10 - на особо охраняемой природной территории, входящей в состав Природно- исторического парка Тушино 
1442;Некачественное содержание инфраструктуры в парке;Некачественное содержание водоотвода
1443;Ненадлежащий уход за зелеными насаждениями в парке;Дерево погибло в том году остался сук. Дети бегая неоднократно спотыкаются.
1444;Некачественное содержание инфраструктуры в парке;Некачественно покрашенные скамейки в парке!
1445;Неисправность элементов освещения в парке;Не горит большой фонарь уличного освещения напротив детской спортшколы на ул. Василия Петушкова,10- на пешеходной дорожке на особо охраняемой природной территории, входящей в состав Природно-исторического парка «тушино@
1446;Неисправность элементов освещения в парке;
1447;Ненадлежащий уход за зелеными насаждениями в парке;В парке есть несколько засохших саженцев. По данной проблеме обращалась год назад, вы ответили, что у саженцев рано опали листья. Но в этом году листья так и не появились, то есть саженцы засохли. Прошу принять меры.
1448;Ненадлежащий уход за зелеными насаждениями в парке;
1449;Неубранная парковая территория;Прошу удалить надпись и наклейки
1450;Неисправность элементов освещения в парке;Много фонарей по всему парку не работают
1451;Некачественное содержание инфраструктуры в парке;Пять плиток шатаются
1452;Некачественное содержание детской площадки в парке;Порвано крепление у подвесных качелей
1453;Неисправность элементов освещения в парке;Не работают фонари на дорожке в парке
1454;Некачественное содержание инфраструктуры в парке;Порвалась сетка габионм
1455;Неубранная парковая территория;Не качественное содержание пешеходных дорожек - между плиткой вылезла трава, которая разрушает плитку.
1456;Неисправность элементов освещения в парке;
1457;Некачественное содержание инфраструктуры в парке;
1458;Неисправность элементов освещения в парке;На севере упал столб
1459;Некачественное содержание детской площадки в парке;На детской площадке сильно провисла тарзанка до самой земли.
1460;Некачественное содержание спортивной площадки в парке;Почините пожалуйста горку
1461;Ненадлежащий уход за зелеными насаждениями в парке;Просьба проверить жизнеспособность дерева(пройти по аллее мимо детской площадки)
1462;Некачественное содержание инфраструктуры в парке;Несмотря на многочисленные сообщения, с просьбой устранить опасно выступающие элементы на урнах на протяжении всей Парковой территории, опасно выступающие углы не устранены, Что может быть опасным для гуляющих рядом детей. Просим устранить выступающие углы на урнах на всей территории парка.
1463;Неубранная парковая территория;В парке плохо убирают мусор. Куда смотрит директор??
1464;Ненадлежащий уход за зелеными насаждениями в парке;Сломано дерево в парке!
1465;Некачественное содержание инфраструктуры в парке;"Здравствуйте. В парке ""Природно-исторический парк Останкино"" сгнил мост через реку Чермянку. Просьба заменить деревянные конструкции на декинг из древесно-полимерного композита (ДПК), так как предыдущая деревянная конструкция прослужила менее 5 лет."
1466;Некачественное содержание инфраструктуры в парке;У сцены снизу отошла панель
1467;Некачественное содержание инфраструктуры в парке;Повреждение плитки на ступеньке
1468;Некачественное содержание инфраструктуры в парке;При входе в парк сделан настил на повороте с тротуара. Он поломан. Может способствовать травмированию.
1469;Наличие опасно выступающих элементов в парке;"Бетонная плита с острыми краями лежит (""вросшая"" в землю) на газоне в юго-восточной части територии усадьбы."
1470;Некачественное содержание инфраструктуры в парке;Сломана урна
1471;Неисправность элементов освещения в парке;"На дорожке, идущей вокруг пруда, не работает первый по часовой стрелке фонарь (от ""смотровой площадки"")."
1472;Ненадлежащий уход за зелеными насаждениями в парке;Аварийные деревья клена ясенелистного мешают проходу.
1473;Неисправность элементов освещения в парке;2 фонаря не работают
1474;Ненадлежащий уход за зелеными насаждениями в парке;В парке маяк дубовая роща напротив дома Бульвар Яна райниса 19 к2 . Имеются большие сухие ветви на уровне 3 этажа напротив 3 подъезда. И один сухой дуб.
1475;Ненадлежащий уход за зелеными насаждениями в парке;
1476;Ненадлежащий уход за зелеными насаждениями в парке;Высохшее дерево
1477;Ненадлежащий уход за зелеными насаждениями в парке;Все дорожки заросли крапивой, не возможно пройти!!! Приведите в порядок уже парк!!! Одна крапива везде!!!
1478;Ненадлежащий уход за зелеными насаждениями в парке;
1479;Ненадлежащий уход за зелеными насаждениями в парке;
1480;Неубранная парковая территория;Длительное время не убирается древесный спил
1481;Неубранная парковая территория;Неубранные ветки в парке у Головинских прудов
1482;Неубранная парковая территория;Ежедневно в ужасном состоянии , постоянная грязь, даже не приятно находиться рядом , о. 
1483;Ненадлежащий уход за зелеными насаждениями в парке;По больше части территории от Маршала Голованова до Люблинской систематически не убирается, не убрано на большей части территории сено вот уже месяц.
1484;Неубранная парковая территория;
1485;Неубранная парковая территория;
1486;Самовольная (незаконная) установка объектов в парке;После ремонта парка остались кривые синие бытовки от строителей. Их используют как велопрокат и хранение надувных каруселей. Требую уточнить законность их расположения и, при необходимости, убрать.
1487;Ненадлежащий уход за зелеными насаждениями в парке;Полностью скошенная триммером трава. Высадите новую И ПОЛЕЙТЕ.
1488;Ненадлежащий уход за зелеными насаждениями в парке;
1489;Ненадлежащий уход за зелеными насаждениями в парке;
1490;Ненадлежащий уход за зелеными насаждениями в парке;Весной и летом 2020 практически не было выкоса травы, в результате в большинстве участков трава почти 2 метра. Многие травы аллергенные. Вокруг детской площадки (большой корабль в центре парка напротив универсама Билла) также много травы и крапивы.
1491;Ненадлежащий уход за зелеными насаждениями в парке;Рядом с детской площадкой ветки клена ясенелистного повисли на электрических проводах.
