;Локальная тема;Описание
135;Неубранная парковая территория;
136;Неубранная парковая территория;
137;Отсутствие песка в песочнице в парке;
138;Некачественное содержание инфраструктуры в парке;
139;Некачественное содержание детской площадки в парке;
140;Отсутствие песка в песочнице в парке;
141;Ненадлежащий уход за зелеными насаждениями в парке;Сухие ветви
142;Некачественное содержание инфраструктуры в парке;"Добрый день! В нашем парке ""Печатники"" есть аллея с кормушками для птиц. Кормушки за много лет вышли из строя и выглядят жутко. Если есть возможность, просим заменить кормушки на новые."
143;Ненадлежащий уход за зелеными насаждениями в парке;ПОВТОРНАЯ ЗАЯВКА. Не покошен с апреля месяца газон! Хватет откланять заявку! Начните работать!!!
144;Ненадлежащий уход за зелеными насаждениями в парке;Сломанное дерево 
145;Некачественное содержание инфраструктуры в парке;Некачественно содержится дорожка, разрушилась плитка
146;Некачественное содержание спортивной площадки в парке;Очень противно скрипит, необходимо смазать
147;Некачественное содержание детской площадки в парке;Кривые
148;Некачественное содержание инфраструктуры в парке;На филевской набережной от Крылатского моста идет дорога до ул.Острова. На набережной яма,требующая ремонта.
149;Ненадлежащий уход за зелеными насаждениями в парке;Сломанная сухая ветка над дорожкой, опасно!
150;Некачественное содержание детской площадки в парке;Восстановите тровянное покрытие на площадке
151;Некачественное содержание детской площадки в парке;На детской горке имеется острая щель. Горка не исправна
152;Неубранная парковая территория;
153;Некачественное содержание детской площадки в парке;Карусель крутится туго издавая громкий скрип.
154;Некачественное содержание инфраструктуры в парке;Сломан столбик на въезде. За остановкой бутаковский залив.
155;Неисправность элементов освещения в парке;Около опоры освещения в земле конструкция и торчащие провода
156;Некачественное содержание инфраструктуры в парке;Удалите бетонные части под ножками лавочки.
157;Некачественное содержание инфраструктуры в парке;нет двух дощечек
158;Ненадлежащий уход за зелеными насаждениями в парке;
159;Отсутствие песка в песочнице в парке;Добрый день! Просим заполнить свежим песком 2 песочницы на детской площадке в малыгинском сквере на малыгинском проезде. Спасибо!
160;Некачественное содержание инфраструктуры в парке;Плитка по всей дорожке покороблена, провалена и разъезжается.
161;Некачественное содержание инфраструктуры в парке;Беседки в сквере у кинотеатра Тула повреждены вандалами. Работы по приведению инфраструктуры сквера к нормальному состоянию не проведены.
162;Некачественное содержание детской площадки в парке;На площадке маша и медведь нет качелей
163;Ненадлежащий уход за зелеными насаждениями в парке;
164;Неисправность элементов освещения в парке;На аллее, расположенной на Митинской улице от метро Митино в сторону метро Пятницкое шоссе, в течение продолжительного времени не работают фонари. Освещения, которое исходит от близлежащих построек и фонарей, находящихся за пределами аллеи, не хватает. К сожалению, жители вынуждены ходить вечером в темноте. 
