;Локальная тема;Описание
348;Несвоевременное восстановление благоустройства;Убрать и восстановить газон
349;Отсутствие информационного щита/некачественное содержание щита;
350;Отсутствие ограждения площадки/ некачественное содержание ограждения;Идёт снос здания... Территория НЕ ОГРАЖДЕНА!!! ПОВРЕЖДЕНЫ ПРИЛЕГАЮЩИЕ ДЕРЕВЬЯ!!! ДИКАЯ ПЫЛЬ!!!
351;Неубранная территория строительной площадки;Не убранная территория на объекте строительства Ховрино 2. Перешодная зона 
352;Неубранная территория строительной площадки;
353;Неубранная территория строительной площадки;Неубранная грязь после проведения строительных работ.
354;Отсутствие ограждения площадки/ некачественное содержание ограждения;Отсутсвие ограждения. Опасные металлоконструкции и ямы. Прошу устранить.
355;Отсутствие информационного щита/некачественное содержание щита;
356;Несвоевременное восстановление благоустройства;После окончания ремонта вестибюля станции Багратионовская не был восстановлен участок тротуара, ведущего от метро до ул. Олеко Дундича. Временные деревянные мостки уже сгнили, доски сломаны. Этот участок крайне травмоопасен, особенно в темное время. Просьба положить здесь асфальт или плитку и восстановить благоустройство и сделать это побыстрее
357;Несвоевременное восстановление благоустройства;Рядом с Московским Университетом имени Витте было начато благоустройство (ремонт тротуаров). Перекопанные дороги были брошены и начат ремонт под мостом станции МЦК ЗИЛ, где никто не ходит. Прошу завершить благоустройство около универа, ведь скоро ребята пойдут на учёбу, а добираться невозможно, ходить по проезжей части опасно
358;Отсутствие ограждения площадки/ некачественное содержание ограждения;Во дворе дома, рядом с детской площадкой, проводятся распопки... Ограждающие конструкции установлены ненадлежащим образом, закреплены не в полном объёме. Частично огр. конструкции закреплены на проволоку, те что не закреплены упали. Примите меры. Устраните нарушение. Фото от: 12.08.2020 г. в приложение
359;Отсутствие освещения в ночное время;
360;Отсутствие освещения в ночное время;нет освещения на строительном заборе
361;Отсутствие информационного щита/некачественное содержание щита;
362;Отсутствие информационного щита/некачественное содержание щита;
363;Несвоевременное восстановление благоустройства;Должны были закончить все работы в апреле на дворе август.
364;Несвоевременное восстановление благоустройства;Сквер между многоквартирными домами 2 и 1 по Волоколамское проезду уничтожив в процессор строительства и не благоустроили. На данных территории уничтожен травяной покров, большие здоровые деревья и кустарники. На 70% территории свален строительный мусор!!!
365;Отсутствие ограждения площадки/ некачественное содержание ограждения;Строительное ограждение упало на автомобиль
366;Отсутствие информационного щита/некачественное содержание щита;
367;Отсутствие ограждения площадки/ некачественное содержание ограждения;Прошёл год. Яма с 1993г остаётся на месте. Чините забор.
368;Отсутствие информационного щита/некачественное содержание щита;
369;Несвоевременное восстановление благоустройства;Прошу благоустроить участок асфальтированной велодорожки и пешеходной после проведения работ.
370;Отсутствие информационного щита/некачественное содержание щита;
371;Отсутствие информационного щита/некачественное содержание щита;
372;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ограждения нет.Грунт на проезжей части дороги.
373;Отсутствие ограждения площадки/ некачественное содержание ограждения;
374;Отсутствие освещения в ночное время;
375;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ограждение вдоль дороги и единственного выхода из района - порвано, изуродовано, что очень сильно портит внешний вид района, безумно страшно проходить мимо него, кроме того, люди цепляются за железо от ограждения когда просто проходят мимо. Прошу устранить.
376;Отсутствие ограждения площадки/ некачественное содержание ограждения;Построение надписи на ограничение
377;Отсутствие ограждения площадки/ некачественное содержание ограждения;Загрязнённое небезопасное ограждение на объекте строительства (реконструкция инженерных сетей). Просьба очистить и прочно установить. 
378;Отсутствие ограждения площадки/ некачественное содержание ограждения;Добрый день! В районе дома по адресу нововладыкинский проезд, д 1, корп 1 со стороны Сигнального проезда в ненадлежащем состоянии находится пешеходный проход от алтуфьевского шоссе в сторону м. Окружная: намыло песок на пешеходные мостки. Никто не убирает песок в течение нескольких недель, что затрудняет проход по дорожке. Просим помочь!
379;Несвоевременное восстановление благоустройства;Не восстановлен газон.
380;Отсутствие освещения в ночное время;Отсутствует аварийное освещение. Фотографии прилагаю.
381;Отсутствие информационного щита/некачественное содержание щита;
382;Несвоевременное восстановление благоустройства;
383;Несвоевременное восстановление благоустройства;Раньше здесь была асфальтированная пешеходная дорога, после строительных разрытий -дорожка не восстановлена. В прошлых сообщ. отвечали, что благоустройство будет проведено с окончанием строительства станции метро. Вчера дорожку протоптанную людьми прокопали, чтоб по ней не ходили! Вместо того чтобы пока сделать временную дорогу для удобства людей. 
384;Отсутствие освещения в ночное время;Отсутствие аварийного освещения
385;Неубранная территория строительной площадки;Неубранная территория строительной площадки
386;Несвоевременное восстановление благоустройства;
387;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ограждение повалено.
388;Несвоевременное восстановление благоустройства;Вытоптанный , заезженный большегрузами газон . Это уже танкодром с вывернутой наизнанку глиной !!
389;Отсутствие информационного щита/некачественное содержание щита;
390;Неубранная территория строительной площадки;Колёсами строительной техники выносится грязь.
391;Несвоевременное восстановление благоустройства;Не уложили бордюр. 
